Species,North America,South America,Africa,Asia,Europe,Oceania
Speckled Wood-Pigeon,6,6,6,2,6,6
White-naped Pigeon,6,6,6,6,6,6
Ashy Wood-Pigeon,6,6,6,3,6,6
Nilgiri Wood-Pigeon,6,6,6,1,6,6
Sri Lanka Wood-Pigeon,6,6,6,6,6,6
Pale-capped Pigeon,6,6,6,2,6,6
Silvery Wood-Pigeon,6,6,6,6,6,6
Andaman Wood-Pigeon,6,6,6,3,6,6
Black Wood-Pigeon,6,6,6,2,6,6
Ryukyu Pigeon,6,6,6,6,6,6
Bonin Pigeon,6,6,6,6,6,6
Metallic Pigeon,6,6,6,3,6,2
White-headed Pigeon,6,6,6,6,6,1
Yellow-legged Pigeon,6,6,6,6,6,6
Lemon Dove,6,6,2,6,6,6
Pale-vented Pigeon,1,1,6,6,6,6
Scaled Pigeon,2,1,6,6,6,6
Scaly-naped Pigeon,5,6,6,6,6,6
Picazuro Pigeon,6,1,6,6,6,6
Bare-eyed Pigeon,6,2,6,6,6,6
Spot-winged Pigeon,6,1,6,6,6,6
White-crowned Pigeon,2,3,6,6,6,6
Red-billed Pigeon,2,6,6,6,6,6
Plain Pigeon,3,6,6,6,6,6
Band-tailed Pigeon,1,1,6,6,6,6
Chilean Pigeon,6,1,6,6,6,6
Ring-tailed Pigeon,6,6,6,6,6,6
Peruvian Pigeon,6,3,6,6,6,6
Plumbeous Pigeon,6,1,6,6,6,6
Ruddy Pigeon,6,1,6,6,6,6
Short-billed Pigeon,2,5,6,6,6,6
Dusky Pigeon,6,2,6,6,6,6
Passenger Pigeon,6,6,6,6,6,6
Malagasy Turtle-Dove,6,6,6,6,6,6
Pink Pigeon,6,6,6,6,6,6
Mauritius Turtle-Dove,6,6,6,6,6,6
Rodrigues Turtle-Dove,6,6,6,6,6,6
European Turtle-Dove,5,6,3,5,2,6
Dusky Turtle-Dove,6,6,1,6,6,6
Adamawa Turtle-Dove,6,6,2,6,6,6
Oriental Turtle-Dove,4,6,6,1,5,5
Sunda Collared-Dove,6,6,6,2,6,6
Philippine Collared-Dove,6,6,6,6,6,6
Eurasian Collared-Dove,1,5,2,1,1,6
Burmese Collared-Dove,6,6,6,6,6,6
African Collared-Dove,5,6,6,5,2,2
White-winged Collared-Dove,6,6,6,6,6,6
Mourning Collared-Dove,6,6,1,6,6,6
Red-eyed Dove,6,6,1,6,6,6
Ring-necked Dove,6,6,1,6,6,6
Vinaceous Dove,6,6,3,6,6,6
Red Collared-Dove,6,6,6,1,6,6
Spotted Dove,2,6,6,1,6,1
Laughing Dove,6,6,1,1,2,1
Barred Cuckoo-Dove,6,6,6,1,6,6
Brown Cuckoo-Dove,6,6,6,6,6,1
