Species,North America,South America,Africa,Asia,Europe,Oceania
Red-chested Sunbird,6,6,3,6,6,6
Black-bellied Sunbird,6,6,3,6,6,6
Purple-banded Sunbird,6,6,2,6,6,6
Tsavo Sunbird,6,6,3,6,6,6
Violet-breasted Sunbird,6,6,5,6,6,6
Pemba Sunbird,6,6,3,6,6,6
Orange-tufted Sunbird,6,6,5,6,6,6
Palestine Sunbird,6,6,5,6,6,6
Abyssinian Sunbird,6,6,4,6,6,6
Arabian Sunbird,6,6,6,6,6,6
Splendid Sunbird,6,6,4,6,6,6
Johanna's Sunbird,6,6,6,6,6,6
Superb Sunbird,6,6,6,6,6,6
Rufous-winged Sunbird,6,6,4,6,6,6
Oustalet's Sunbird,6,6,6,6,6,6
White-bellied Sunbird,6,6,1,6,6,6
Variable Sunbird,6,6,1,6,6,6
Dusky Sunbird,6,6,2,6,6,6
Ursula's Sunbird,6,6,6,6,6,6
Bates's Sunbird,6,6,6,6,6,6
Copper Sunbird,6,6,3,6,6,6
Purple Sunbird,6,6,6,1,6,6
Ornate Sunbird,6,6,6,1,6,6
Tukangbesi Sunbird,6,6,6,4,6,6
Sahul Sunbird,6,6,6,1,6,1
Garden Sunbird,6,6,6,6,6,6
Palawan Sunbird,6,6,6,6,6,6
South Moluccan Sunbird,6,6,6,3,6,6
Flores Sea Sunbird,6,6,6,5,6,6
Mamberamo Sunbird,6,6,6,6,6,6
Apricot-breasted Sunbird,6,6,6,4,6,6
Flame-breasted Sunbird,6,6,6,2,6,6
Souimanga Sunbird,6,6,6,6,6,6
Malagasy Sunbird,6,6,6,6,6,6
Seychelles Sunbird,6,6,6,6,6,6
Humblot's Sunbird,6,6,6,6,6,6
Anjouan Sunbird,6,6,6,6,6,6
Mayotte Sunbird,6,6,6,6,6,6
Loten's Sunbird,6,6,6,1,6,6
Elegant Sunbird,6,6,6,5,6,6
Fire-tailed Sunbird,6,6,6,2,6,6
Black-throated Sunbird,6,6,6,1,6,6
Mrs. Gould's Sunbird,6,6,6,1,6,6
Green-tailed Sunbird,6,6,6,1,6,6
Lovely Sunbird,6,6,6,6,6,6
Temminck's Sunbird,6,6,6,3,6,6
Javan Sunbird,6,6,6,3,6,6
Vigors's Sunbird,6,6,6,1,6,6
Crimson Sunbird,6,6,6,1,6,6
Magnificent Sunbird,6,6,6,6,6,6
Fork-tailed Sunbird,6,6,6,1,6,6
Handsome Sunbird,6,6,6,6,6,6
White-flanked Sunbird,6,6,6,6,6,6
Flaming Sunbird,6,6,6,6,6,6
Maroon-naped Sunbird,6,6,6,6,6,6
Metallic-winged Sunbird,6,6,6,6,6,6
Lina's Sunbird,6,6,6,6,6,6
Gray-hooded Sunbird,6,6,6,6,6,6
Apo Sunbird,6,6,6,6,6,6
Tboli Sunbird,6,6,6,6,6,6
Purple-naped Spiderhunter,6,6,6,2,6,6
Thick-billed Spiderhunter,6,6,6,5,6,6
Long-billed Spiderhunter,6,6,6,3,6,6
Orange-tufted Spiderhunter,6,6,6,6,6,6
Pale Spiderhunter,6,6,6,6,6,6
Little Spiderhunter,6,6,6,1,6,6
Whitehead's Spiderhunter,6,6,6,6,6,6
Naked-faced Spiderhunter,6,6,6,6,6,6
Yellow-eared Spiderhunter,6,6,6,3,6,6
Spectacled Spiderhunter,6,6,6,3,6,6
Streaked Spiderhunter,6,6,6,1,6,6
Streaky-breasted Spiderhunter,6,6,6,3,6,6
Gray-breasted Spiderhunter,6,6,6,2,6,6
Bornean Spiderhunter,6,6,6,6,6,6
Asian Fairy-bluebird,6,6,6,1,6,6
Palawan Fairy-bluebird,6,6,6,6,6,6
Philippine Fairy-bluebird,6,6,6,6,6,6
Philippine Leafbird,6,6,6,6,6,6
Yellow-throated Leafbird,6,6,6,6,6,6
Greater Green Leafbird,6,6,6,6,6,6
Lesser Green Leafbird,6,6,6,3,6,6
Blue-winged Leafbird,6,6,6,1,6,6
Javan Leafbird,6,6,6,6,6,6
Bornean Leafbird,6,6,6,6,6,6
Jerdon's Leafbird,6,6,6,1,6,6
Golden-fronted Leafbird,6,6,6,1,6,6
Sumatran Leafbird,6,6,6,6,6,6
Orange-bellied Leafbird,6,6,6,1,6,6
Blue-masked Leafbird,6,6,6,6,6,6
Olive Warbler,2,6,6,6,6,6
Przevalski's Pinktail,6,6,6,4,6,6
White-billed Buffalo-Weaver,6,6,3,6,6,6
Red-billed Buffalo-Weaver,6,6,1,6,6,6
White-headed Buffalo-Weaver,6,6,1,6,6,6
Speckle-fronted Weaver,6,6,1,6,6,6
Scaly Weaver,6,6,2,6,6,6
White-browed Sparrow-Weaver,6,6,1,6,6,6
Chestnut-crowned Sparrow-Weaver,6,6,5,6,6,6
Chestnut-backed Sparrow-Weaver,6,6,6,6,6,6
Donaldson Smith's Sparrow-Weaver,6,6,2,6,6,6
Rufous-tailed Weaver,6,6,1,6,6,6
Gray-capped Social-Weaver,6,6,1,6,6,6
Black-capped Social-Weaver,6,6,2,6,6,6
Sociable Weaver,6,6,2,6,6,6
Red-crowned Malimbe,6,6,6,6,6,6
Black-throated Malimbe,6,6,6,6,6,6
Gola Malimbe,6,6,6,6,6,6
Rachel's Malimbe,6,6,6,6,6,6
Red-vented Malimbe,6,6,6,6,6,6
Ibadan Malimbe,6,6,6,6,6,6
Red-bellied Malimbe,6,6,6,6,6,6
Blue-billed Malimbe,6,6,5,6,6,6
Crested Malimbe,6,6,6,6,6,6
Red-headed Malimbe,6,6,3,6,6,6
Red-headed Weaver,6,6,1,6,6,6
Red Weaver,6,6,6,6,6,6
Yellow-legged Weaver,6,6,6,6,6,6
Bertram's Weaver,6,6,5,6,6,6
Baglafecht Weaver,6,6,1,6,6,6
Black-chinned Weaver,6,6,6,6,6,6
Bannerman's Weaver,6,6,6,6,6,6
Bates's Weaver,6,6,6,6,6,6
Little Weaver,6,6,2,6,6,6
Slender-billed Weaver,6,6,3,6,6,6
Loango Weaver,6,6,6,6,6,6
Olive-naped Weaver,6,6,4,6,6,6
Black-necked Weaver,6,6,2,6,6,6
Spectacled Weaver,6,6,1,6,6,6
Black-billed Weaver,6,6,3,6,6,6
Strange Weaver,6,6,6,6,6,6
Cape Weaver,6,6,1,6,6,6
Bocage's Weaver,6,6,6,6,6,6
African Golden-Weaver,6,6,1,6,6,6
Holub's Golden-Weaver,6,6,1,6,6,6
Orange Weaver,6,6,6,6,6,6
Golden Palm Weaver,6,6,2,6,6,6
Taveta Golden-Weaver,6,6,2,6,6,6
Principe Golden-Weaver,6,6,6,6,6,6
Southern Brown-throated Weaver,6,6,3,6,6,6
Northern Brown-throated Weaver,6,6,3,6,6,6
Kilombero Weaver,6,6,5,6,6,6
Ruvu Weaver,6,6,6,6,6,6
Northern Masked-Weaver,6,6,3,6,6,6
Lesser Masked-Weaver,6,6,1,6,6,6
Southern Masked-Weaver,6,6,1,6,6,6
Vitelline Masked-Weaver,6,6,1,6,6,6
Tanganyika Masked-Weaver,6,6,6,6,6,6
Katanga Masked-Weaver,6,6,6,6,6,6
Lake Lufira Masked-Weaver,6,6,6,6,6,6
Heuglin's Masked-Weaver,6,6,5,6,6,6
Rüppell's Weaver,6,6,6,6,6,6
Speke's Weaver,6,6,1,6,6,6
Fox's Weaver,6,6,6,6,6,6
Chestnut-and-black Weaver,6,6,6,6,6,6
Vieillot's Black Weaver,6,6,3,6,6,6
Village Weaver,6,6,1,6,6,6
Giant Weaver,6,6,6,6,6,6
Weyns's Weaver,6,6,6,6,6,6
Kilifi Weaver,6,6,4,6,6,6
Juba Weaver,6,6,6,6,6,6
Black-headed Weaver,6,6,3,6,2,6
Golden-backed Weaver,6,6,2,6,6,6
Chestnut Weaver,6,6,1,6,6,6
Cinnamon Weaver,6,6,6,6,6,6
Golden-naped Weaver,6,6,6,6,6,6
Yellow-mantled Weaver,6,6,6,6,6,6
Maxwell's Black Weaver,6,6,6,6,6,6
Dark-backed Weaver,6,6,1,6,6,6
Brown-capped Weaver,6,6,2,6,6,6
Yellow-capped Weaver,6,6,6,6,6,6
Preuss's Weaver,6,6,6,6,6,6
Olive-headed Weaver,6,6,6,6,6,6
Usambara Weaver,6,6,5,6,6,6
Bar-winged Weaver,6,6,6,6,6,6
Sao Tome Weaver,6,6,6,6,6,6
Nelicourvi Weaver,6,6,6,6,6,6
Sakalava Weaver,6,6,6,6,6,6
Streaked Weaver,6,6,5,1,6,6
Baya Weaver,6,6,6,1,6,6
Asian Golden Weaver,6,6,6,1,6,6
Finn's Weaver,6,6,6,6,6,6
Black-breasted Weaver,6,6,6,1,6,6
Compact Weaver,6,6,5,6,6,6
Cardinal Quelea,6,6,3,6,6,6
Red-headed Quelea,6,6,3,6,6,6
Red-billed Quelea,6,6,1,6,6,6
Bob-tailed Weaver,6,6,6,6,6,6
Red Fody,6,6,6,6,6,6
Aldabra Fody,6,6,6,6,6,6
Red-headed Fody,6,6,6,6,6,6
Forest Fody,6,6,6,6,6,6
Reunion Fody,6,6,6,6,6,6
Mauritius Fody,6,6,6,6,6,6
Seychelles Fody,6,6,6,6,6,6
Rodrigues Fody,6,6,6,6,6,6
Northern Red Bishop,6,6,4,6,6,6
Southern Red Bishop,6,6,1,6,6,6
Zanzibar Red Bishop,6,6,2,6,6,6
Black-winged Bishop,6,6,2,6,6,6
Black Bishop,6,6,3,6,6,6
Yellow-crowned Bishop,6,6,2,6,2,6
Fire-fronted Bishop,6,6,4,6,6,6
Golden-backed Bishop,6,6,6,6,6,6
Yellow Bishop,6,6,1,6,6,6
White-winged Widowbird,6,6,1,6,6,6
Yellow-mantled Widowbird,6,6,3,6,6,6
Red-cowled Widowbird,6,6,2,6,6,6
Red-collared Widowbird,6,6,2,6,6,6
Fan-tailed Widowbird,6,6,1,6,6,6
Marsh Widowbird,6,6,6,6,6,6
Buff-shouldered Widowbird,6,6,6,6,6,6
Long-tailed Widowbird,6,6,1,6,6,6
Jackson's Widowbird,6,6,2,6,6,6
Grosbeak Weaver,6,6,1,6,6,6
Pictorella Munia,6,6,6,6,6,3
Mountain Firetail,6,6,6,6,6,5
Diamond Firetail,6,6,6,6,6,1
Red-eared Firetail,6,6,6,6,6,2
Beautiful Firetail,6,6,6,6,6,1
Crimson Finch,6,6,6,4,6,1
Red-browed Firetail,6,6,6,6,6,1
Painted Firetail,6,6,6,6,6,2
Star Finch,6,6,6,6,6,2
Plum-headed Finch,6,6,6,6,6,2
Double-barred Finch,6,6,6,6,6,1
Zebra Finch,6,6,6,6,5,1
Masked Finch,6,6,6,6,6,2
Long-tailed Finch,6,6,6,6,6,2
Black-throated Finch,6,6,6,6,6,3
Gray-headed Silverbill,6,6,2,6,6,6
Bronze Mannikin,6,6,1,6,6,6
Magpie Mannikin,6,6,3,6,6,6
Black-and-white Mannikin,6,6,1,6,6,6
Madagascar Munia,6,6,6,6,6,6
African Silverbill,1,6,3,6,6,6
Indian Silverbill,6,6,3,1,3,6
Java Sparrow,2,6,5,2,6,6
Timor Sparrow,6,6,6,6,6,6
Streak-headed Munia,6,6,6,3,6,6
White-spotted Munia,6,6,6,5,6,5
Scaly-breasted Munia,2,6,6,1,6,1
Black-throated Munia,6,6,6,1,6,6
Black-faced Munia,6,6,6,2,6,6
White-rumped Munia,6,6,6,1,6,6
Dusky Munia,6,6,6,3,6,6
White-bellied Munia,6,6,6,5,6,6
Javan Munia,6,6,6,1,6,6
Tricolored Munia,4,2,6,1,6,6
Chestnut Munia,2,4,6,1,6,6
White-capped Munia,6,6,6,6,6,6
White-headed Munia,6,6,6,1,6,6
Pale-headed Munia,6,6,6,2,6,6
Grand Munia,6,6,6,3,6,6
Black-breasted Munia,6,6,6,6,6,6
Snow Mountain Munia,6,6,6,6,6,6
Alpine Munia,6,6,6,6,6,6
Gray-banded Munia,6,6,6,5,6,6
Gray-crowned Munia,6,6,6,5,6,6
Gray-headed Munia,6,6,6,6,6,3
Hooded Munia,6,6,6,4,6,4
New Ireland Munia,6,6,6,6,6,5
Mottled Munia,6,6,6,6,6,5
New Hanover Munia,6,6,6,6,6,6
Yellow-rumped Munia,6,6,6,6,6,3
Five-colored Munia,6,6,6,3,6,6
Chestnut-breasted Munia,6,6,6,4,6,1
Black Munia,6,6,6,5,6,6
Bismarck Munia,6,6,6,6,6,4
Gouldian Finch,6,6,6,6,6,2
Pin-tailed Parrotfinch,6,6,6,3,6,6
Green-faced Parrotfinch,6,6,6,6,6,6
Tawny-breasted Parrotfinch,6,6,6,5,6,6
Red-throated Parrotfinch,6,6,6,6,6,4
Fiji Parrotfinch,6,6,6,6,6,2
Royal Parrotfinch,6,6,6,6,6,6
Pink-billed Parrotfinch,6,6,6,6,6,6
Tricolored Parrotfinch,6,6,6,6,6,6
Red-eared Parrotfinch,6,6,6,6,6,6
Papuan Parrotfinch,6,6,6,5,6,5
Blue-faced Parrotfinch,6,6,6,5,6,3
Shelley's Oliveback,6,6,6,6,6,6
White-collared Oliveback,6,6,6,6,6,6
Yellow-bellied Waxbill,6,6,2,6,6,6
Angola Waxbill,6,6,6,6,6,6
Swee Waxbill,6,6,1,6,6,6
Green-backed Twinspot,6,6,3,6,6,6
Shelley's Crimsonwing,6,6,6,6,6,6
Dusky Crimsonwing,6,6,6,6,6,6
Abyssinian Crimsonwing,6,6,3,6,6,6
Red-faced Crimsonwing,6,6,3,6,6,6
Red-fronted Antpecker,6,6,6,6,6,6
Woodhouse's Antpecker,6,6,6,6,6,6
Jameson's Antpecker,6,6,6,6,6,6
White-breasted Nigrita,6,6,5,6,6,6
Chestnut-breasted Nigrita,6,6,6,6,6,6
Gray-headed Nigrita,6,6,3,6,6,6
Pale-fronted Nigrita,6,6,6,6,6,6
Gray-headed Oliveback,6,6,5,6,6,6
Black-faced Waxbill,6,6,2,6,6,6
Black-cheeked Waxbill,6,6,3,6,6,6
Lavender Waxbill,2,6,3,6,6,6
Black-tailed Waxbill,6,6,3,6,6,6
Cinderella Waxbill,6,6,6,6,6,6
Black-crowned Waxbill,6,6,4,6,6,6
Black-headed Waxbill,6,6,6,6,6,6
Kandt's Waxbill,6,6,3,6,6,6
Orange-cheeked Waxbill,6,6,4,6,4,6
Anambra Waxbill,6,6,6,6,6,6
Fawn-breasted Waxbill,6,6,3,6,6,6
Common Waxbill,2,1,1,6,1,5
Black-lored Waxbill,6,6,6,6,6,6
Black-rumped Waxbill,6,6,3,6,5,6
Crimson-rumped Waxbill,6,6,1,6,6,6
Arabian Waxbill,6,6,6,6,6,6
Quailfinch,6,6,1,6,6,6
Locustfinch,6,6,6,6,6,6
Cut-throat,6,6,1,6,6,6
Red-headed Finch,6,6,1,6,6,6
Green Avadavat,6,6,6,6,6,6
Zebra Waxbill,6,6,2,6,6,6
Red Avadavat,2,6,3,1,1,3
Purple Grenadier,6,6,1,6,6,6
Violet-eared Waxbill,6,6,2,6,6,6
Southern Cordonbleu,6,6,1,6,6,6
Red-cheeked Cordonbleu,6,6,1,6,6,6
Blue-capped Cordonbleu,6,6,1,6,6,6
Grant's Bluebill,6,6,6,6,6,6
Western Bluebill,6,6,6,6,6,6
Red-headed Bluebill,6,6,3,6,6,6
Lesser Seedcracker,6,6,5,6,6,6
Crimson Seedcracker,6,6,6,6,6,6
Black-bellied Seedcracker,6,6,6,6,6,6
Green-winged Pytilia,6,6,1,6,6,6
Orange-winged Pytilia,6,6,5,6,6,6
Red-winged Pytilia,6,6,6,6,6,6
Red-billed Pytilia,6,6,6,6,6,6
Red-faced Pytilia,6,6,6,6,6,6
Dybowski's Twinspot,6,6,6,6,6,6
Dusky Twinspot,6,6,6,6,6,6
Red-throated Twinspot,6,6,3,6,6,6
Pink-throated Twinspot,6,6,2,6,6,6
Brown Twinspot,6,6,6,6,6,6
Red-billed Firefinch,6,6,1,6,6,6
African Firefinch,6,6,1,6,6,6
Jameson's Firefinch,6,6,2,6,6,6
Mali Firefinch,6,6,6,6,6,6
Rock Firefinch,6,6,3,6,6,6
Chad Firefinch,6,6,6,6,6,6
Black-bellied Firefinch,6,6,5,6,6,6
Bar-breasted Firefinch,6,6,3,6,6,6
Brown Firefinch,6,6,6,6,6,6
Black-faced Firefinch,6,6,6,6,6,6
Pin-tailed Whydah,6,6,1,6,6,6
Sahel Paradise-Whydah,6,6,5,6,6,6
Exclamatory Paradise-Whydah,6,6,6,6,6,6
Togo Paradise-Whydah,6,6,6,6,6,6
Broad-tailed Paradise-Whydah,6,6,5,6,6,6
Eastern Paradise-Whydah,6,6,2,6,6,6
Steel-blue Whydah,6,6,3,6,6,6
Straw-tailed Whydah,6,6,2,6,6,6
Shaft-tailed Whydah,6,6,3,6,6,6
Village Indigobird,6,6,1,6,6,6
Wilson's Indigobird,6,6,6,6,6,6
Quailfinch Indigobird,6,6,6,6,6,6
Jos Plateau Indigobird,6,6,6,6,6,6
Jambandu Indigobird,6,6,6,6,6,6
Barka Indigobird,6,6,6,6,6,6
Cameroon Indigobird,6,6,6,6,6,6
Dusky Indigobird,6,6,2,6,6,6
Purple Indigobird,6,6,3,6,6,6
Green Indigobird,6,6,6,6,6,6
Parasitic Weaver,6,6,3,6,6,6
Alpine Accentor,6,6,6,2,1,6
Altai Accentor,6,6,6,3,6,6
Robin Accentor,6,6,6,1,6,6
Rufous-breasted Accentor,6,6,6,1,6,6
Siberian Accentor,4,6,6,3,6,6
Radde's Accentor,6,6,6,6,6,6
Brown Accentor,6,6,6,2,6,6
Black-throated Accentor,6,6,6,2,6,6
Mongolian Accentor,6,6,6,6,6,6
Dunnock,6,6,6,6,1,1
Japanese Accentor,6,6,6,3,6,6
Maroon-backed Accentor,6,6,6,3,6,6
Cinnamon Ibon,6,6,6,6,6,6
Saxaul Sparrow,6,6,6,4,6,6
House Sparrow,1,1,1,1,1,1
Italian Sparrow,6,4,6,6,1,6
Spanish Sparrow,6,6,3,4,1,6
Sind Sparrow,6,6,6,2,6,6
Somali Sparrow,6,6,4,6,6,6
Russet Sparrow,6,6,6,1,6,6
Plain-backed Sparrow,6,6,6,1,6,6
Dead Sea Sparrow,6,6,6,6,6,6
Cape Verde Sparrow,6,6,6,6,6,6
Abd al Kuri Sparrow,6,6,6,6,6,6
Socotra Sparrow,6,6,6,6,6,6
Great Rufous Sparrow,6,6,3,6,6,6
Kenya Rufous Sparrow,6,6,1,6,6,6
Shelley's Rufous Sparrow,6,6,5,6,6,6
Kordofan Rufous Sparrow,6,6,6,6,6,6
Cape Sparrow,6,6,1,6,6,6
Northern Gray-headed Sparrow,6,6,1,6,6,6
Swainson's Sparrow,6,6,6,6,6,6
Parrot-billed Sparrow,6,6,1,6,6,6
Swahili Sparrow,6,6,2,6,6,6
Southern Gray-headed Sparrow,6,6,1,6,6,6
Desert Sparrow,6,6,6,6,6,6
Zarudny's Sparrow,6,6,6,6,6,6
Eurasian Tree Sparrow,2,6,6,1,1,1
Sudan Golden Sparrow,6,6,6,6,3,6
Arabian Golden Sparrow,6,6,6,6,6,6
Chestnut Sparrow,6,6,2,6,6,6
Yellow-spotted Bush Sparrow,6,6,1,6,6,6
Yellow-throated Sparrow,6,6,6,1,6,6
Yellow-throated Bush Sparrow,6,6,2,6,6,6
Sahel Bush Sparrow,6,6,4,6,6,6
Rock Sparrow,6,6,6,3,1,6
Pale Rockfinch,6,6,6,6,6,6
White-winged Snowfinch,6,6,6,6,2,6
Tibetan Snowfinch,6,6,6,4,6,6
Black-winged Snowfinch,6,6,6,2,6,6
White-rumped Snowfinch,6,6,6,3,6,6
Pere David's Snowfinch,6,6,6,4,6,6
Rufous-necked Snowfinch,6,6,6,3,6,6
Blanford's Snowfinch,6,6,6,3,6,6
Afghan Snowfinch,6,6,6,6,6,6
Forest Wagtail,6,6,6,1,6,6
Cape Wagtail,6,6,1,6,6,6
Mountain Wagtail,6,6,2,6,6,6
Sao Tome Short-tail,6,6,6,6,6,6
Madagascar Wagtail,6,6,6,6,6,6
Gray Wagtail,4,6,3,1,1,6
Western Yellow Wagtail,6,6,2,1,1,6
Eastern Yellow Wagtail,2,6,6,1,4,3
Citrine Wagtail,5,6,5,1,5,6
White-browed Wagtail,6,6,6,1,6,6
Mekong Wagtail,6,6,6,5,6,6
Japanese Wagtail,6,6,6,1,6,6
African Pied Wagtail,6,6,1,6,6,6
White Wagtail,3,5,2,1,1,6
Australian Pipit,6,6,6,6,6,1
New Zealand Pipit,6,6,6,6,6,1
Richard's Pipit,6,6,5,1,2,6
Paddyfield Pipit,6,6,6,1,6,6
African Pipit,6,6,1,6,6,6
Mountain Pipit,6,6,6,6,6,6
Woodland Pipit,6,6,6,6,6,6
Long-billed Pipit,6,6,2,2,6,6
Nicholson's Pipit,6,6,3,6,6,6
Blyth's Pipit,6,6,6,2,6,6
Tawny Pipit,6,6,4,2,2,6
Plain-backed Pipit,6,6,1,6,6,6
Buffy Pipit,6,6,3,6,6,6
Long-legged Pipit,6,6,6,6,6,6
Nilgiri Pipit,6,6,6,3,6,6
Upland Pipit,6,6,6,2,6,6
Berthelot's Pipit,6,6,6,6,1,6
Malindi Pipit,6,6,3,6,6,6
Striped Pipit,6,6,3,6,6,6
Yellow-tufted Pipit,6,6,3,6,6,6
Madanga,6,6,6,6,6,6
Alpine Pipit,6,6,6,5,6,6
Meadow Pipit,6,6,5,6,1,6
Rosy Pipit,6,6,6,1,6,6
Tree Pipit,4,6,3,2,2,6
Olive-backed Pipit,3,6,6,1,4,6
Pechora Pipit,4,6,6,3,6,6
Red-throated Pipit,3,6,2,2,2,6
Water Pipit,6,6,4,2,1,6
Rock Pipit,6,6,6,6,1,6
Siberian Pipit,3,6,6,2,6,6
American Pipit,1,6,6,6,6,6
Sprague's Pipit,2,6,6,6,6,6
Yellowish Pipit,6,1,6,6,6,6
Peruvian Pipit,6,2,6,6,6,6
Puna Pipit,6,3,6,6,6,6
Short-billed Pipit,6,3,6,6,6,6
Pampas Pipit,6,3,6,6,6,6
Correndera Pipit,6,1,6,6,6,6
South Georgia Pipit,6,6,6,6,6,6
Ochre-breasted Pipit,6,3,6,6,6,6
Hellmayr's Pipit,6,2,6,6,6,6
Paramo Pipit,6,2,6,6,6,6
Short-tailed Pipit,6,6,6,6,6,6
Bush Pipit,6,6,3,6,6,6
Sokoke Pipit,6,6,3,6,6,6
Golden Pipit,6,6,2,6,6,6
Yellow-breasted Pipit,6,6,3,6,6,6
Sharpe's Longclaw,6,6,3,6,6,6
Orange-throated Longclaw,6,6,1,6,6,6
Yellow-throated Longclaw,6,6,1,6,6,6
Fülleborn's Longclaw,6,6,5,6,6,6
Abyssinian Longclaw,6,6,6,6,6,6
Pangani Longclaw,6,6,2,6,6,6
Rosy-throated Longclaw,6,6,2,6,6,6
Grimwood's Longclaw,6,6,6,6,6,6
Common Chaffinch,4,6,3,3,1,1
Azores Chaffinch,6,6,6,6,6,6
Madeira Chaffinch,6,6,6,6,6,6
Canary Islands Chaffinch,6,6,6,6,1,6
African Chaffinch,6,6,6,6,3,6
Tenerife Blue Chaffinch,6,6,6,6,2,6
Gran Canaria Blue Chaffinch,6,6,6,6,3,6
Brambling,3,6,6,2,1,6
Elegant Euphonia,1,6,6,6,6,6
Hispaniolan Euphonia,6,6,6,6,6,6
Puerto Rican Euphonia,6,6,6,6,6,6
Lesser Antillean Euphonia,6,6,6,6,6,6
Golden-rumped Euphonia,6,1,6,6,6,6
Blue-naped Chlorophonia,6,1,6,6,6,6
Chestnut-breasted Chlorophonia,6,1,6,6,6,6
Yellow-collared Chlorophonia,6,2,6,6,6,6
Blue-crowned Chlorophonia,2,6,6,6,6,6
Golden-browed Chlorophonia,6,6,6,6,6,6
Jamaican Euphonia,6,6,6,6,6,6
Orange-crowned Euphonia,6,2,6,6,6,6
Plumbeous Euphonia,6,3,6,6,6,6
Purple-throated Euphonia,6,1,6,6,6,6
Finsch's Euphonia,6,5,6,6,6,6
Velvet-fronted Euphonia,6,1,6,6,6,6
Trinidad Euphonia,6,1,6,6,6,6
West Mexican Euphonia,1,6,6,6,6,6
Scrub Euphonia,1,6,6,6,6,6
Yellow-crowned Euphonia,6,6,6,6,6,6
Golden-bellied Euphonia,6,1,6,6,6,6
White-vented Euphonia,6,2,6,6,6,6
Green-throated Euphonia,6,2,6,6,6,6
Violaceous Euphonia,6,1,6,6,6,6
Yellow-throated Euphonia,1,6,6,6,6,6
Thick-billed Euphonia,6,1,6,6,6,6
Spot-crowned Euphonia,6,6,6,6,6,6
Olive-backed Euphonia,2,6,6,6,6,6
Fulvous-vented Euphonia,6,2,6,6,6,6
Tawny-capped Euphonia,6,6,6,6,6,6
Orange-bellied Euphonia,6,1,6,6,6,6
Bronze-green Euphonia,6,2,6,6,6,6
Golden-sided Euphonia,6,3,6,6,6,6
Rufous-bellied Euphonia,6,1,6,6,6,6
Chestnut-bellied Euphonia,6,1,6,6,6,6
Black-and-yellow Grosbeak,6,6,6,3,6,6
Collared Grosbeak,6,6,6,3,6,6
Spot-winged Grosbeak,6,6,6,2,6,6
White-winged Grosbeak,6,6,6,3,6,6
Hooded Grosbeak,1,6,6,6,6,6
Evening Grosbeak,1,6,6,6,6,6
Hawfinch,4,6,6,1,1,6
Yellow-billed Grosbeak,6,6,6,1,6,6
Japanese Grosbeak,6,6,6,1,6,6
Poo-uli,6,6,6,6,6,6
Akikiki,2,6,6,6,6,6
Oahu Alauahio,6,6,6,6,6,6
Kakawahie,6,6,6,6,6,6
Maui Alauahio,2,6,6,6,6,6
Palila,2,6,6,6,6,6
Laysan Finch,3,6,6,6,6,6
Nihoa Finch,3,6,6,6,6,6
Kona Grosbeak,6,6,6,6,6,6
Lesser Koa-Finch,6,6,6,6,6,6
Greater Koa-Finch,6,6,6,6,6,6
Ula-ai-hawane,6,6,6,6,6,6
Akohekohe,2,6,6,6,6,6
Laysan Honeycreeper,6,6,6,6,6,6
Apapane,2,6,6,6,6,6
Iiwi,2,6,6,6,6,6
Hawaii Mamo,6,6,6,6,6,6
Black Mamo,6,6,6,6,6,6
Ou,6,6,6,6,6,6
Lanai Hookbill,6,6,6,6,6,6
Maui Parrotbill,2,6,6,6,6,6
Kauai Nukupuu,6,6,6,6,6,6
Oahu Nukupuu,6,6,6,6,6,6
Maui Nukupuu,6,6,6,6,6,6
Akiapolaau,2,6,6,6,6,6
Lesser Akialoa,6,6,6,6,6,6
Oahu Akialoa,6,6,6,6,6,6
Kauai Akialoa,6,6,6,6,6,6
Maui-nui Akialoa,6,6,6,6,6,6
Anianiau,2,6,6,6,6,6
Hawaii Amakihi,2,6,6,6,6,6
Oahu Amakihi,2,6,6,6,6,6
Kauai Amakihi,2,6,6,6,6,6
Greater Amakihi,6,6,6,6,6,6
Hawaii Creeper,2,6,6,6,6,6
Akekee,2,6,6,6,6,6
Hawaii Akepa,2,6,6,6,6,6
Oahu Akepa,6,6,6,6,6,6
Maui Akepa,6,6,6,6,6,6
Common Rosefinch,4,6,6,1,3,6
Scarlet Finch,6,6,6,2,6,6
Bonin Grosbeak,6,6,6,6,6,6
Red-mantled Rosefinch,6,6,6,5,6,6
Blyth's Rosefinch,6,6,6,3,6,6
Himalayan Beautiful Rosefinch,6,6,6,3,6,6
Chinese Beautiful Rosefinch,6,6,6,3,6,6
Pink-rumped Rosefinch,6,6,6,3,6,6
Dark-rumped Rosefinch,6,6,6,2,6,6
Pink-browed Rosefinch,6,6,6,1,6,6
Spot-winged Rosefinch,6,6,6,3,6,6
Sharpe's Rosefinch,6,6,6,3,6,6
Vinaceous Rosefinch,6,6,6,3,6,6
Taiwan Rosefinch,6,6,6,6,6,6
Sinai Rosefinch,6,6,5,6,6,6
Pale Rosefinch,6,6,6,4,6,6
Tibetan Rosefinch,6,6,6,5,6,6
Sillem's Rosefinch,6,6,6,6,6,6
Streaked Rosefinch,6,6,6,3,6,6
Great Rosefinch,6,6,6,2,6,6
Long-tailed Rosefinch,6,6,6,1,6,6
Red-fronted Rosefinch,6,6,6,3,6,6
