Species,Code,North America,,,,,,,
Rusty Blackbird,RUBL,1,,,,,,,
Sabine's Gull,SAGU,1,,,,,,,
Sage Thrasher,SATH,1,,,,,,,
Sagebrush Sparrow,SABS,1,,,,,,,
Saltmarsh Sparrow,SALS,1,,,,,,,
Sanderling,SAND,1,,,,,,,
Sandhill Crane,SACR,1,,,,,,,
Sandwich Tern,SATE,1,,,,,,,
Sargasso Shearwater,SASH,1,,,,,,,
Savannah Sparrow,SAVS,1,,,,,,,
Say's Phoebe,SAPH,1,,,,,,,
Scaled Quail,SCQU,1,,,,,,,
Scarlet Tanager,SCTA,1,,,,,,,
Scissor-tailed Flycatcher,STFL,1,,,,,,,
Scott's Oriole,SCOR,1,,,,,,,
Seaside Sparrow,SESP,1,,,,,,,
Sedge Wren,SEWR,1,,,,,,,
Semipalmated Plover,SEPL,1,,,,,,,
Semipalmated Sandpiper,SESA,1,,,,,,,
Sharp-shinned Hawk,SSHA,1,,,,,,,
Short-billed Dowitcher,SBDO,1,,,,,,,
Short-billed Gull,SBIG,1,,,,,,,
Short-eared Owl,SEOW,1,,,,,,,
Snow Bunting,SNBU,1,,,,,,,
Snow Goose,SNGO,1,,,,,,,
Snowy Egret,SNEG,1,,,,,,,
Snowy Plover,SNPL,1,,,,,,,
Solitary Sandpiper,SOSA,1,,,,,,,
Song Sparrow,SOSP,1,,,,,,,
Sooty Shearwater,SOSH,1,,,,,,,
Sora,SORA,1,,,,,,,
Spotted Sandpiper,SPSA,1,,,,,,,
Spotted Towhee,SPTO,1,,,,,,,
Steller's Jay,STJA,1,,,,,,,
Stilt Sandpiper,STSA,1,,,,,,,
Summer Tanager,SUTA,1,,,,,,,
Surf Scoter,SUSC,1,,,,,,,
Surfbird,SURF,1,,,,,,,
Swainson's Hawk,SWHA,1,,,,,,,
Swainson's Thrush,SWTH,1,,,,,,,
Swallow-tailed Kite,STKI,1,,,,,,,
Swamp Sparrow,SWSP,1,,,,,,,
Tennessee Warbler,TEWA,1,,,,,,,
Thick-billed Murre,TBMU,1,,,,,,,
Townsend's Solitaire,TOSO,1,,,,,,,
Townsend's Warbler,TOWA,1,,,,,,,
Tree Swallow,TRES,1,,,,,,,
Tricolored Heron,TRHE,1,,,,,,,
Trumpeter Swan,TRUS,1,,,,,,,
Tufted Puffin,TUPU,1,,,,,,,
Tufted Titmouse,TUTI,1,,,,,,,
Tundra Swan,TUSW,1,,,,,,,
Turkey Vulture,TUVU,1,,,,,,,
Upland Sandpiper,UPSA,1,,,,,,,
Varied Thrush,VATH,1,,,,,,,
Vaux's Swift,VASW,1,,,,,,,
Veery,VEER,1,,,,,,,
Verdin,VERD,1,,,,,,,
Vermilion Flycatcher,VEFL,1,,,,,,,
Vesper Sparrow,VESP,1,,,,,,,
Violet-green Swallow,VGSW,1,,,,,,,
Virginia Rail,VIRA,1,,,,,,,
Virginia's Warbler,VIWA,1,,,,,,,
Wandering Tattler,WATA,1,,,,,,,
Warbling Vireo,WAVI,1,,,,,,,
Western Bluebird,WEBL,1,,,,,,,
Western Cattle Egret,WECE,1,,,,,,,
Western Flycatcher,WEFL,1,,,,,,,
Western Grebe,WEGR,1,,,,,,,
Western Gull,WEGU,1,,,,,,,
Western Kingbird,WEKI,1,,,,,,,
Western Meadowlark,WEME,1,,,,,,,
Western Sandpiper,WESA,1,,,,,,,
Western Screech-Owl,WESO,1,,,,,,,
Western Tanager,WETA,1,,,,,,,
Western Wood-Pewee,WEWP,1,,,,,,,
Whimbrel,WHIM,1,,,,,,,
